Education Level,Years of Experience,Location,Industry,Job Title,Salary
Bachelor's,39,Suburban,Healthcare,Project Manager,119309.3332878077
Master's,32,Urban,Healthcare,Business Analyst,115143.45969750111
High School,20,Suburban,Finance,Data Scientist,77850.69327220917
PhD,1,Suburban,Tech,Project Manager,96225.94248479912
Bachelor's,17,Urban,Finance,Project Manager,95530.17467448222
High School,32,Urban,Education,Business Analyst,75584.87106358727
PhD,36,Urban,Finance,Project Manager,129509.805997975
PhD,33,Suburban,Healthcare,Software Engineer,135953.80797069956
PhD,19,Urban,Tech,Others,108412.73418799677
High School,34,Suburban,Education,Others,75758.5644933526
High School,17,Rural,Finance,Business Analyst,61260.534577542145
High School,23,Rural,Healthcare,Data Scientist,60052.696148792966
Master's,7,Urban,Finance,Data Scientist,84475.20325738442
High School,29,Suburban,Healthcare,Business Analyst,51283.24848652663
High School,9,Suburban,Tech,Business Analyst,50042.148490973734
High School,22,Suburban,Education,Project Manager,64790.81557199286
Master's,10,Urban,Finance,Data Scientist,65622.41710193746
High School,1,Suburban,Education,Others,35667.63906356799
PhD,25,Suburban,Tech,Business Analyst,131560.3465360846
High School,35,Suburban,Healthcare,Others,101470.86649339466
PhD,32,Rural,Tech,Others,117509.0092914204
PhD,12,Suburban,Tech,Data Scientist,121463.30344611534
PhD,39,Rural,Education,Others,176369.89820005416
Master's,24,Suburban,Tech,Project Manager,120909.8139078038
Master's,3,Suburban,Finance,Project Manager,88442.7758899681
Master's,18,Suburban,Healthcare,Data Scientist,98945.383466617
High School,17,Rural,Tech,Project Manager,61738.14143770797
PhD,36,Suburban,Finance,Business Analyst,139187.907735378
Master's,29,Urban,Healthcare,Data Scientist,125309.99842326241
Master's,18,Suburban,Education,Others,108951.16169876364
High School,22,Rural,Healthcare,Business Analyst,52601.806749542324
Master's,15,Rural,Education,Data Scientist,89769.13626859245
High School,0,Urban,Healthcare,Others,37608.736809468035
Bachelor's,11,Urban,Tech,Others,83065.575331761
Master's,23,Urban,Education,Others,72620.61508351426
Bachelor's,33,Rural,Education,Others,124809.76667323617
High School,7,Suburban,Education,Others,38720.282355772324
PhD,17,Suburban,Tech,Data Scientist,127358.99869027385
Master's,4,Urban,Tech,Project Manager,88202.9269999174
High School,25,Urban,Healthcare,Others,84144.96773940547
PhD,29,Suburban,Healthcare,Business Analyst,131353.3813527021
PhD,12,Urban,Tech,Data Scientist,100515.28691882202
Bachelor's,18,Suburban,Tech,Software Engineer,68454.03901047097
High School,28,Suburban,Education,Project Manager,76741.66157502655
PhD,2,Suburban,Healthcare,Business Analyst,106949.60974839139
Master's,25,Suburban,Healthcare,Others,96606.72298988534
Master's,39,Rural,Education,Data Scientist,127446.52335191632
Bachelor's,11,Suburban,Education,Data Scientist,65163.86177686236
PhD,1,Urban,Education,Others,75429.9997330312
High School,10,Urban,Finance,Business Analyst,45136.61213306659
Master's,27,Urban,Finance,Data Scientist,105264.49674567937
PhD,17,Urban,Tech,Project Manager,115840.23327696312
PhD,12,Rural,Healthcare,Business Analyst,103861.67035365423
Bachelor's,36,Suburban,Education,Others,97796.34707661805
Master's,21,Suburban,Education,Business Analyst,96250.42493835244
Master's,11,Urban,Healthcare,Business Analyst,89251.82778635525
High School,1,Urban,Finance,Software Engineer,39854.55427935368
Master's,36,Urban,Healthcare,Others,154475.16982936522
High School,6,Suburban,Tech,Project Manager,38206.959310000726
Master's,25,Rural,Finance,Others,104557.93053979715
Bachelor's,25,Rural,Healthcare,Software Engineer,78674.43252321726
Master's,23,Rural,Healthcare,Others,91416.17014434467
High School,11,Rural,Tech,Others,44741.83106537927
High School,15,Urban,Healthcare,Project Manager,36131.85111012896
Bachelor's,22,Suburban,Finance,Software Engineer,78014.07268632464
Master's,39,Urban,Education,Others,133938.15282344373
Master's,8,Rural,Education,Others,73449.36625835192
Bachelor's,31,Urban,Education,Data Scientist,123758.3418783816
Master's,14,Rural,Finance,Others,100532.7534157773
Master's,36,Suburban,Healthcare,Project Manager,132850.22738859337
High School,12,Rural,Healthcare,Data Scientist,68362.51178834005
Master's,4,Urban,Healthcare,Software Engineer,71271.53866549613
Master's,10,Suburban,Healthcare,Business Analyst,87525.60467419811
Bachelor's,9,Rural,Education,Project Manager,57144.75378925423
Bachelor's,12,Rural,Finance,Software Engineer,66837.77240713668
PhD,40,Suburban,Tech,Data Scientist,123595.6633081127
High School,14,Urban,Finance,Business Analyst,44260.64670829777
Master's,6,Suburban,Healthcare,Software Engineer,82235.18881533238
Master's,39,Urban,Healthcare,Project Manager,140450.22056942203
PhD,27,Rural,Finance,Data Scientist,137057.03665216267
Master's,31,Rural,Finance,Project Manager,124862.25175116441
High School,34,Suburban,Education,Project Manager,78421.4242523694
PhD,14,Rural,Healthcare,Data Scientist,113343.56973921462
High School,35,Suburban,Finance,Others,90745.52339761615
PhD,20,Rural,Healthcare,Project Manager,104864.02442982438
PhD,5,Rural,Finance,Data Scientist,102708.11023975756
Bachelor's,0,Urban,Healthcare,Project Manager,54883.71112247357
High School,3,Suburban,Finance,Others,26788.3344274845
Master's,10,Suburban,Healthcare,Data Scientist,78907.68973144723
Master's,25,Rural,Tech,Software Engineer,122047.90939109036
High School,36,Urban,Education,Software Engineer,99387.3524714875
Master's,22,Urban,Tech,Software Engineer,89333.36831668894
Master's,28,Suburban,Education,Business Analyst,124694.46067654256
High School,20,Suburban,Education,Project Manager,51743.48814442444
PhD,26,Rural,Finance,Project Manager,134662.89774298551
High School,38,Suburban,Tech,Data Scientist,52457.24786183823
PhD,39,Rural,Education,Business Analyst,191399.98965121206
Master's,12,Urban,Healthcare,Project Manager,85114.60066985902
Master's,22,Suburban,Finance,Data Scientist,116221.61186789678
Master's,15,Urban,Finance,Others,87353.15380267167
Bachelor's,29,Urban,Healthcare,Project Manager,91896.3326279987
PhD,3,Rural,Healthcare,Project Manager,96920.14005381412
Bachelor's,39,Urban,Education,Others,127917.25444956368
Bachelor's,15,Rural,Healthcare,Others,52352.95199255238
High School,30,Rural,Finance,Project Manager,75775.88849287009
Bachelor's,24,Urban,Healthcare,Others,90750.2150134291
High School,11,Urban,Tech,Data Scientist,56626.44082566334
High School,25,Rural,Finance,Project Manager,77859.7535733898
Bachelor's,36,Rural,Healthcare,Project Manager,108361.31161245346
PhD,32,Urban,Finance,Software Engineer,124052.76748628121
PhD,27,Rural,Education,Project Manager,135552.45112047024
PhD,8,Rural,Tech,Software Engineer,107072.71992198835
PhD,11,Suburban,Education,Others,110471.72247690808
PhD,4,Suburban,Tech,Others,99039.96319440573
Bachelor's,27,Suburban,Healthcare,Data Scientist,93736.9887183947
Bachelor's,34,Suburban,Finance,Software Engineer,118970.69279769642
Master's,4,Suburban,Healthcare,Project Manager,56959.82152593482
PhD,33,Rural,Education,Software Engineer,123177.02556130911
Bachelor's,33,Rural,Finance,Others,123114.47359879645
Master's,12,Suburban,Healthcare,Others,71181.5348541481
PhD,38,Urban,Healthcare,Data Scientist,120557.56713210381
High School,13,Suburban,Finance,Others,42684.85688125076
Master's,10,Urban,Finance,Software Engineer,73280.28421286898
Bachelor's,37,Rural,Education,Project Manager,97910.13302692362
High School,3,Urban,Tech,Project Manager,23632.94655877335
High School,32,Rural,Tech,Software Engineer,82322.59130302993
High School,6,Urban,Finance,Data Scientist,41618.413049071016
Master's,40,Rural,Tech,Project Manager,109684.61774570435
Bachelor's,7,Rural,Education,Software Engineer,58155.52714602853
High School,36,Suburban,Tech,Software Engineer,98351.95796791646
PhD,9,Rural,Finance,Others,110279.91797949949
High School,14,Suburban,Education,Others,69591.64346921665
High School,37,Suburban,Finance,Data Scientist,66368.61745997785
Master's,14,Suburban,Education,Data Scientist,104082.89151923236
Master's,4,Urban,Education,Data Scientist,83071.06834761245
Bachelor's,28,Urban,Finance,Software Engineer,92139.91546026824
PhD,18,Rural,Healthcare,Software Engineer,99545.91744386325
Master's,9,Suburban,Finance,Others,73569.1214939733
High School,11,Suburban,Education,Project Manager,61661.039833597264
Bachelor's,3,Rural,Finance,Data Scientist,48436.326844344636
High School,30,Suburban,Finance,Business Analyst,62046.431754937264
High School,17,Rural,Education,Data Scientist,61286.15791112289
Master's,15,Suburban,Tech,Others,71464.28032439594
Bachelor's,39,Urban,Education,Software Engineer,110469.14353063128
PhD,35,Rural,Finance,Others,125604.71593707414
PhD,24,Rural,Education,Others,123104.68910924692
Master's,22,Urban,Education,Others,112427.62326606878
Master's,11,Rural,Tech,Business Analyst,92682.35943371765
Bachelor's,33,Urban,Healthcare,Business Analyst,75628.75201552514
PhD,35,Suburban,Finance,Data Scientist,138852.8773783435
PhD,36,Urban,Finance,Software Engineer,151387.75588702568
PhD,2,Urban,Tech,Others,89913.928755535
High School,8,Rural,Education,Project Manager,38795.04774131706
PhD,17,Suburban,Healthcare,Data Scientist,100414.56675345729
High School,34,Urban,Finance,Data Scientist,69370.6584886036
Bachelor's,33,Suburban,Healthcare,Others,103126.60150860727
High School,40,Urban,Healthcare,Data Scientist,61067.743250548374
Bachelor's,13,Rural,Education,Others,73813.44320009854
PhD,3,Urban,Education,Data Scientist,79996.2090028893
PhD,28,Urban,Education,Software Engineer,131028.38133265138
Bachelor's,40,Suburban,Finance,Data Scientist,122269.1600447091
Master's,14,Urban,Healthcare,Data Scientist,91401.06956887616
Bachelor's,27,Rural,Healthcare,Project Manager,105230.48325701538
Master's,15,Rural,Finance,Software Engineer,97831.97344924933
High School,11,Urban,Tech,Software Engineer,48338.38529165359
High School,4,Urban,Education,Software Engineer,33298.40384808302
High School,33,Suburban,Finance,Data Scientist,106807.32785664356
PhD,0,Suburban,Education,Business Analyst,92320.13839407664
High School,38,Rural,Healthcare,Data Scientist,107706.97168368142
Master's,31,Suburban,Finance,Others,82969.25925647264
High School,25,Urban,Tech,Project Manager,66284.85097019462
Bachelor's,16,Rural,Education,Software Engineer,55473.909130306274
Bachelor's,26,Suburban,Healthcare,Others,95892.11492513237
PhD,23,Rural,Healthcare,Others,125221.20208345883
Bachelor's,34,Urban,Tech,Business Analyst,130053.40145749103
Master's,38,Suburban,Tech,Software Engineer,124648.33271562814
High School,25,Urban,Education,Data Scientist,52017.951946980174
PhD,37,Urban,Healthcare,Software Engineer,142287.67092924463
High School,22,Rural,Tech,Project Manager,44564.68898538109
High School,21,Rural,Finance,Software Engineer,65909.59728789257
Master's,3,Rural,Tech,Others,73211.05454634376
Bachelor's,8,Suburban,Finance,Others,63651.57023376046
Bachelor's,3,Suburban,Healthcare,Data Scientist,61916.73126774159
High School,6,Rural,Education,Data Scientist,40730.8848362459
PhD,22,Suburban,Healthcare,Data Scientist,124768.60871824135
Bachelor's,1,Suburban,Healthcare,Project Manager,51138.79761701533
PhD,23,Rural,Healthcare,Software Engineer,123574.18640486611
Bachelor's,39,Urban,Healthcare,Business Analyst,113362.80889116487
PhD,30,Suburban,Education,Software Engineer,132849.37720801798
Master's,30,Suburban,Tech,Data Scientist,117500.21707727668
PhD,39,Urban,Education,Project Manager,150219.2899855791
Master's,33,Urban,Education,Software Engineer,134941.49935919675
Master's,23,Urban,Education,Others,96270.00383256093
PhD,25,Rural,Education,Software Engineer,121942.45274411968
Master's,15,Urban,Tech,Others,96814.035206097
High School,12,Rural,Healthcare,Software Engineer,21787.137710714607
Master's,14,Urban,Tech,Software Engineer,94440.49427658542
Bachelor's,26,Urban,Tech,Software Engineer,76107.3149704475
PhD,3,Rural,Healthcare,Data Scientist,95260.5204943531
High School,15,Rural,Tech,Others,46086.1766456157
PhD,29,Urban,Education,Project Manager,132765.42985215705
Bachelor's,29,Urban,Education,Business Analyst,110207.57939617988
Bachelor's,35,Urban,Healthcare,Others,97292.6752079566
Bachelor's,2,Suburban,Healthcare,Data Scientist,61114.88402953591
Master's,21,Urban,Healthcare,Others,100489.41354202743
Master's,21,Rural,Education,Project Manager,105516.13574654954
PhD,11,Suburban,Healthcare,Others,105459.78362143452
PhD,20,Rural,Tech,Data Scientist,130684.56144686826
High School,3,Suburban,Tech,Data Scientist,46654.5590916468
High School,30,Suburban,Finance,Business Analyst,70715.0545384427
PhD,30,Rural,Finance,Project Manager,164901.48572217705
Master's,22,Suburban,Healthcare,Business Analyst,116961.31572812438
Bachelor's,19,Rural,Finance,Software Engineer,70334.5930226031
PhD,14,Urban,Education,Data Scientist,110354.50291017018
High School,22,Suburban,Education,Business Analyst,59578.77599490668
Master's,27,Rural,Tech,Data Scientist,104383.96835712036
PhD,15,Suburban,Tech,Data Scientist,113383.73418972168
PhD,36,Rural,Finance,Software Engineer,150314.16704833874
Master's,20,Urban,Finance,Data Scientist,80244.13014201036
PhD,14,Urban,Education,Business Analyst,127590.77544716495
Master's,16,Suburban,Tech,Project Manager,95671.82534513956
Bachelor's,36,Suburban,Finance,Others,112332.95494135242
Master's,12,Rural,Education,Business Analyst,85716.7760729446
Master's,18,Rural,Tech,Software Engineer,101449.76405990584
Master's,29,Suburban,Education,Others,96909.32301852213
PhD,17,Rural,Education,Data Scientist,101112.48355662293
PhD,13,Rural,Tech,Business Analyst,104987.40842556463
Master's,35,Rural,Education,Others,104378.08341084124
PhD,35,Suburban,Finance,Business Analyst,144123.36236048513
High School,19,Urban,Education,Data Scientist,49562.164513469004
High School,18,Urban,Finance,Business Analyst,57710.30669504109
PhD,6,Rural,Healthcare,Software Engineer,103973.93270273592
PhD,3,Suburban,Healthcare,Others,99432.75900933227
Master's,33,Rural,Healthcare,Others,131407.50497546582
Bachelor's,1,Urban,Education,Others,61362.758172966205
PhD,4,Rural,Healthcare,Business Analyst,90062.03285081623
High School,9,Urban,Healthcare,Data Scientist,39937.714007537135
Master's,31,Suburban,Education,Business Analyst,102503.43905778581
PhD,40,Rural,Tech,Business Analyst,119969.47317278113
High School,12,Suburban,Education,Others,37423.40463090256
High School,38,Rural,Finance,Data Scientist,85935.13322848888
Bachelor's,4,Rural,Education,Project Manager,55859.03564859192
Master's,9,Rural,Tech,Data Scientist,85500.25054205167
Master's,9,Rural,Healthcare,Business Analyst,86156.41629535847
Bachelor's,37,Rural,Education,Software Engineer,85314.07497900265
Bachelor's,26,Suburban,Healthcare,Data Scientist,90051.9673445753
Master's,20,Suburban,Finance,Others,110465.87206453763
Master's,7,Urban,Tech,Software Engineer,83828.73181644629
PhD,0,Rural,Healthcare,Project Manager,100668.6558764159
PhD,27,Urban,Healthcare,Project Manager,136577.17027212027
Bachelor's,38,Suburban,Healthcare,Software Engineer,107675.88236980079
PhD,13,Urban,Healthcare,Project Manager,97368.99546106954
High School,20,Suburban,Education,Software Engineer,41882.61879627781
PhD,29,Rural,Tech,Business Analyst,148343.7219013554
PhD,20,Urban,Tech,Software Engineer,109212.3245469482
High School,8,Urban,Healthcare,Business Analyst,48536.325646189696
Bachelor's,16,Urban,Tech,Others,99929.82119844492
High School,4,Urban,Healthcare,Others,40466.950735039754
PhD,30,Rural,Finance,Project Manager,149811.6953886412
Bachelor's,39,Suburban,Finance,Software Engineer,101874.79621348153
PhD,37,Suburban,Finance,Business Analyst,140599.20193375653
High School,18,Rural,Tech,Others,59172.533847264895
High School,35,Suburban,Healthcare,Others,108393.70246608196
PhD,32,Urban,Education,Others,137106.61992939326
Master's,12,Rural,Education,Project Manager,89062.6249920537
Master's,13,Suburban,Finance,Others,98954.97272718583
High School,32,Rural,Finance,Data Scientist,102831.1631323036
High School,28,Rural,Tech,Project Manager,89112.15887601783
Master's,35,Suburban,Education,Software Engineer,119861.06478657344
Master's,9,Suburban,Tech,Data Scientist,68592.66950996924
PhD,30,Rural,Finance,Project Manager,119638.05355823059
PhD,5,Rural,Healthcare,Project Manager,96382.44191981926
Master's,0,Suburban,Healthcare,Business Analyst,61476.68388565848
PhD,6,Rural,Healthcare,Data Scientist,100938.53262952765
PhD,26,Suburban,Finance,Data Scientist,159452.481834861
Bachelor's,20,Rural,Tech,Data Scientist,98017.61592661617
PhD,27,Rural,Healthcare,Others,124028.79861831207
High School,15,Rural,Education,Others,54954.340720248285
PhD,22,Suburban,Education,Software Engineer,115427.95684643881
PhD,19,Urban,Finance,Software Engineer,139809.893506688
Master's,37,Suburban,Education,Software Engineer,104441.3340405482
High School,24,Rural,Education,Others,67448.28161086162
PhD,27,Urban,Finance,Business Analyst,147524.89710199775
PhD,4,Urban,Tech,Software Engineer,87081.40613245576
Bachelor's,20,Rural,Healthcare,Project Manager,77172.13243262062
PhD,17,Suburban,Finance,Others,96660.47296843941
PhD,5,Urban,Education,Business Analyst,85153.59952197768
Bachelor's,28,Urban,Healthcare,Project Manager,78301.4599937607
Master's,18,Suburban,Healthcare,Project Manager,112793.13902200712
PhD,32,Suburban,Healthcare,Others,161957.4496942668
Bachelor's,0,Urban,Finance,Data Scientist,28381.921361865738
High School,2,Suburban,Healthcare,Business Analyst,51357.05516151506
Master's,20,Urban,Tech,Others,94359.9176336316
High School,34,Rural,Education,Data Scientist,80192.53204876838
High School,40,Suburban,Finance,Others,83595.87164414924
Bachelor's,39,Urban,Finance,Others,108448.25750164865
PhD,2,Suburban,Healthcare,Project Manager,95522.50093166834
Bachelor's,24,Suburban,Education,Others,107468.262397713
Bachelor's,37,Urban,Healthcare,Data Scientist,116006.58320647743
Bachelor's,19,Rural,Healthcare,Project Manager,84438.74422721271
Bachelor's,33,Urban,Finance,Data Scientist,106283.19224147797
Master's,20,Suburban,Tech,Data Scientist,89080.37992106796
PhD,22,Urban,Education,Project Manager,117850.97925270486
High School,5,Suburban,Education,Data Scientist,46710.96462741283
High School,12,Urban,Education,Software Engineer,53392.89229363741
PhD,22,Rural,Education,Others,123307.44864013238
High School,8,Rural,Tech,Project Manager,55255.38803057232
PhD,16,Rural,Finance,Project Manager,103671.40509061092
High School,1,Rural,Tech,Software Engineer,44691.70130553872
Bachelor's,18,Urban,Healthcare,Software Engineer,93204.60957765717
High School,18,Rural,Finance,Software Engineer,48321.75116814503
PhD,6,Urban,Tech,Software Engineer,101633.92766529629
PhD,19,Suburban,Education,Business Analyst,117092.30428417296
PhD,8,Suburban,Education,Project Manager,110016.55678631176
PhD,16,Suburban,Finance,Data Scientist,115582.03619295123
PhD,26,Rural,Tech,Project Manager,136311.27241169108
Master's,1,Rural,Finance,Project Manager,72250.05304659352
Master's,35,Rural,Education,Project Manager,104633.06096504694
High School,18,Suburban,Tech,Software Engineer,56687.36244902059
PhD,16,Suburban,Education,Software Engineer,145480.6957348876
High School,4,Suburban,Finance,Business Analyst,28280.633701743183
PhD,38,Suburban,Finance,Project Manager,129148.56408738431
PhD,17,Urban,Finance,Others,114615.87600366969
Master's,6,Urban,Finance,Business Analyst,71105.83614472416
Master's,16,Rural,Finance,Software Engineer,96637.74353385359
Bachelor's,38,Rural,Healthcare,Project Manager,99300.82459636068
Master's,35,Suburban,Finance,Software Engineer,106761.3649667869
Bachelor's,39,Urban,Finance,Data Scientist,106009.96585269112
Bachelor's,3,Urban,Education,Software Engineer,62968.4329549431
Bachelor's,37,Rural,Finance,Software Engineer,107095.65813973786
Bachelor's,24,Urban,Tech,Business Analyst,66173.35258205794
Bachelor's,4,Rural,Finance,Data Scientist,65197.83007949003
High School,29,Suburban,Healthcare,Others,80793.64621001975
Master's,11,Suburban,Finance,Others,85501.23463700592
Bachelor's,3,Rural,Education,Others,48471.519799902846
PhD,23,Suburban,Tech,Project Manager,141951.48949116317
Master's,28,Suburban,Tech,Others,120020.96252428502
Master's,8,Urban,Finance,Project Manager,76559.71957197704
Bachelor's,3,Urban,Finance,Software Engineer,41108.454527810885
High School,23,Urban,Finance,Others,74742.29101880077
Bachelor's,13,Urban,Finance,Business Analyst,71246.05223155877
High School,4,Urban,Education,Data Scientist,39262.02899945596
PhD,17,Rural,Education,Data Scientist,87215.26004886001
Master's,18,Rural,Tech,Software Engineer,102759.0574288394
PhD,11,Urban,Finance,Data Scientist,108949.96296524337
High School,17,Suburban,Education,Data Scientist,52035.04314945659
High School,16,Suburban,Education,Software Engineer,61526.35278564284
PhD,29,Rural,Tech,Software Engineer,128265.60034167278
High School,23,Rural,Tech,Software Engineer,79678.24717192388
PhD,10,Rural,Healthcare,Business Analyst,111858.90914767742
Master's,34,Suburban,Education,Software Engineer,112001.01485966158
PhD,22,Rural,Tech,Software Engineer,127065.45943230693
Master's,16,Suburban,Education,Software Engineer,87707.92263185806
PhD,0,Rural,Education,Others,83779.97980772085
High School,14,Suburban,Finance,Others,52013.69221703542
PhD,31,Rural,Finance,Business Analyst,122659.99151868305
High School,8,Rural,Finance,Business Analyst,56823.70004446754
PhD,14,Suburban,Finance,Data Scientist,101296.40598249811
PhD,27,Rural,Education,Others,146824.83649500617
Bachelor's,23,Urban,Healthcare,Business Analyst,97179.97355602423
